"상품 이름","카테고리","가격","링크"
"뱃지제작 주문제작 소량제작 벳지 고정핀 핀뱃지 굿즈 기업 행사용품","핀뱃지","1,200원","https://www.coupang.com/vp/products/8230217586?itemId=23685883334&vendorItemId=90711060498&sourceType=srp_product_ads&clickEventId=1277cc80-5e7d-11f1-a4ab-f2fb1ae46ba7&korePlacement=15&koreSubPlacement=1&clickEventId=1277cc80-5e7d-11f1-a4ab-f2fb1ae46ba7&korePlacement=15&koreSubPlacement=1"
"[5개세트] 먼작귀 리락 곰돌이 기본 캐릭터 뱃지 캔뱃지 가방꾸미기 모자꾸미기 브로지 필통꾸미기 핀뱃지, 1세트, 먼작귀(기본)","핀뱃지","6,900원","https://www.coupang.com/vp/products/9412493013?itemId=27968212644&vendorItemId=94926143508&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=1&rank=1"
"[5개세트] 먼작귀 리락 곰돌이 기본 캐릭터 뱃지 캔뱃지 가방꾸미기 모자꾸미기 브로지 필통꾸미기 핀뱃지, 1세트, 리락쿠마","핀뱃지","6,900원","https://www.coupang.com/vp/products/9412493013?itemId=27968212640&vendorItemId=94926143506&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=2&rank=2"
"가방 모자 데코 장식 빈티지 감성 레트로 배지","핀뱃지","6,900원","https://www.coupang.com/vp/products/9204695595?itemId=27181699904&vendorItemId=94149281473&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=3&rank=3"
"뱃지만들기 핀버튼 굿즈 제작 캔 배지 재료 부자재, 1개, 58mm(원형종이포함,플라스틱)","핀뱃지","18,400원","https://www.coupang.com/vp/products/8936381247?itemId=26128062953&vendorItemId=93521594821&sourceType=srp_product_ads&clickEventId=1277cc80-5e7d-11f1-a7b4-c52de5a5134e&korePlacement=15&koreSubPlacement=5&clickEventId=1277cc80-5e7d-11f1-a7b4-c52de5a5134e&korePlacement=15&koreSubPlacement=5"
"코오미 공예 원판 평핀 브로치 5W0905 20mm, 100개, 실버","핀뱃지","10,000원","https://www.coupang.com/vp/products/9233131372?itemId=27294817169&vendorItemId=94275448560&sourceType=srp_product_ads&clickEventId=1277f390-5e7d-11f1-b651-81693c7ff720&korePlacement=15&koreSubPlacement=6&clickEventId=1277f390-5e7d-11f1-b651-81693c7ff720&korePlacement=15&koreSubPlacement=6"
"요즘대세 인싸템 4color / 신꾸가꾸엔젤윙브로치1쌍+1쌍","핀뱃지","6,040원","https://www.coupang.com/vp/products/8751940387?itemId=25442963846&vendorItemId=92467684593&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=6&rank=6"
"[5개세트] 먼작귀 리락 곰돌이 기본 캐릭터 뱃지 캔뱃지 가방꾸미기 모자꾸미기 브로지 필통꾸미기 핀뱃지, 1세트, 먼작귀(봄)","핀뱃지","6,900원","https://www.coupang.com/vp/products/9412493013?itemId=27968212641&vendorItemId=94926143507&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=7&rank=7"
"사단 뱃지","핀뱃지","2,500원","https://www.coupang.com/vp/products/198135322?itemId=571735114&vendorItemId=4501955233&sourceType=srp_product_ads&clickEventId=1277f390-5e7d-11f1-b445-47e0135a1918&korePlacement=15&koreSubPlacement=9&clickEventId=1277f390-5e7d-11f1-b445-47e0135a1918&korePlacement=15&koreSubPlacement=9"
"카피바라 고양이 댕댕이 아크릴 뱃지 가방 브로치 12종 세트","핀뱃지","8,900원","https://www.coupang.com/vp/products/8560061260?itemId=24788577306&vendorItemId=91796461267&q=%ED%95%80%EB%B1%83%EC%A7%80&searchId=d201159f3377275&sourceType=search&itemsCount=60&searchRank=9&rank=9"
"뱃지핀 뺏지핀 뱃찌고정핀 뺏찌 마스크가드, 뱃지핀5mm, 50개","핀뱃지","8,900원","https://www.coupang.com/vp/products/9311217187?itemId=27565143094&vendorItemId=92383139253&sourceType=srp_product_ads&clickEventId=1277f390-5e7d-11f1-a18d-0f94e4a73e49&korePlacement=15&koreSubPlacement=11&clickEventId=1277f390-5e7d-11f1-a18d-0f94e4a73e49&korePlacement=15&koreSubPlacement=11"
