"상품 이름","카테고리","가격","링크"
"페레노 현대 캐스퍼 스마트키 가죽케이스 PH14 casper 키링, 미네르바복스 블루","키링","20,860원","https://www.coupang.com/vp/products/6136657200?itemId=11740305451&vendorItemId=79338056400&sourceType=srp_product_ads&clickEventId=89651770-5e7e-11f1-b178-f2c7ea381892&korePlacement=15&koreSubPlacement=1&clickEventId=89651770-5e7e-11f1-b178-f2c7ea381892&korePlacement=15&koreSubPlacement=1"
"다다랜드 뚠빵한 카피바라 동물 인형 키링, 12cm, 오리튜브카피바라, 1개","키링","2,950원","https://www.coupang.com/vp/products/7983834510?itemId=25010081005&vendorItemId=92015065357&pickType=COU_PICK&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=1&rank=1"
"1+1 헬스와미 고급 가죽 차량용 키링 홀더 심플 차키링 열쇠고리, 딥브라운, 1세트","키링","4,890원","https://www.coupang.com/vp/products/9068149675?itemId=26679363209&vendorItemId=93651549634&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=2&rank=2"
"버블리데이 귀여운 니트 곰돌이 키링 2종 세트, 화이트 + 블랙, 1세트","키링","5,810원","https://www.coupang.com/vp/products/8531959116?itemId=23125875018&vendorItemId=90158941490&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=3&rank=3"
"해밀띵스 키보드 딸깍이 led 키캡 키링, 1개, 클리어화이트","키링","5,700원","https://www.coupang.com/vp/products/9438000947?itemId=28068541777&vendorItemId=95025181899&sourceType=srp_product_ads&clickEventId=89651770-5e7e-11f1-83e8-017fb82837d6&korePlacement=15&koreSubPlacement=5&clickEventId=89651770-5e7e-11f1-83e8-017fb82837d6&korePlacement=15&koreSubPlacement=5"
"1+1 헤이쉬 귀여운 해달키링 인형 가방 키링 스트랩 포함 세트 돌고래 알파카 햄스터","키링","9,800원","https://www.coupang.com/vp/products/8448441058?itemId=24440348933&vendorItemId=91454410390&sourceType=srp_product_ads&clickEventId=89651770-5e7e-11f1-8215-522decaac507&korePlacement=15&koreSubPlacement=6&clickEventId=89651770-5e7e-11f1-8215-522decaac507&korePlacement=15&koreSubPlacement=6"
"자동차키링 번호판 열쇠고리 스마트 키홀더 차량번호키링제작, 신형, 1개","키링","5,900원","https://www.coupang.com/vp/products/8957014008?itemId=26207479405&vendorItemId=92019375236&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=6&rank=6"
"에이오알비 리얼 감자 키링","키링","500원","https://www.coupang.com/vp/products/8913232387?itemId=26078383694&vendorItemId=95544569219&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=7&rank=7"
"브로키 LED 귀여운 키캡 키링 4구 9구 모닝빵, 1개, 4구_모닝빵","키링","3,900원","https://www.coupang.com/vp/products/9430393636?itemId=28038003414&vendorItemId=95330491388&sourceType=srp_product_ads&clickEventId=89651770-5e7e-11f1-9b9c-b2b033fd7e3e&korePlacement=15&koreSubPlacement=9&clickEventId=89651770-5e7e-11f1-9b9c-b2b033fd7e3e&korePlacement=15&koreSubPlacement=9"
"Dickies 일본 정품 디키즈 카라비너 키링 키홀더 열쇠고리, 1개, 실버(silver)","키링","20,800원","https://www.coupang.com/vp/products/8507855710?itemId=24626632461&vendorItemId=91637706708&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=9&rank=9"
"은시엘 스트릿 주사위 키링 차키 가방장식 키홀더 포인트 장식","키링","9,900원","https://www.coupang.com/vp/products/8939250500?itemId=26139606344&vendorItemId=93926961660&sourceType=srp_product_ads&clickEventId=89653e80-5e7e-11f1-b1c8-dde76848acb8&korePlacement=15&koreSubPlacement=11&clickEventId=89653e80-5e7e-11f1-b1c8-dde76848acb8&korePlacement=15&koreSubPlacement=11"
"다판다 지니 곰돌이 스타일 베어 키링 스트릿 감성 키홀더 열쇠고리, 1개, 블랙","키링","11,300원","https://www.coupang.com/vp/products/9330825349?itemId=27664337888&vendorItemId=94626593927&sourceType=srp_product_ads&clickEventId=89653e80-5e7e-11f1-8acb-131cacf4a74c&korePlacement=15&koreSubPlacement=12&clickEventId=89653e80-5e7e-11f1-8acb-131cacf4a74c&korePlacement=15&koreSubPlacement=12"
"다판다 지니 곰돌이 스타일 베어 키링 스트릿 감성 키홀더 열쇠고리, 1개, 블랙","키링","11,300원","https://www.coupang.com/vp/products/9330825349?itemId=27664337888&vendorItemId=94626593927&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=12&rank=12"
"핑구 보따리 스탠딩 인형 가방고리, 10cm, 블랙, 1개","키링","7,280원","https://www.coupang.com/vp/products/8659897074?itemId=25135386869&vendorItemId=93041854518&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=13&rank=13"
"생활공식 고급 가죽 스트랩 키링 2p, 블랙","키링","5,800원","https://www.coupang.com/vp/products/6777701009?itemId=15930349157&vendorItemId=87877188681&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=14&rank=14"
"베라룩 감성포인트 키링 가방 포인트 키홀더","키링","11,900원","https://www.coupang.com/vp/products/9510640665?itemId=28341376558&vendorItemId=95293596521&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=15&rank=15"
"자동차 차량 차키홀더 열쇠고리 분실방지 걸이형, 그레이+블랙, 1개","키링","8,910원","https://www.coupang.com/vp/products/8431034284?itemId=25916173940&vendorItemId=91402582618&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=16&rank=16"
"ANYOU 귀여운 열쇠고리 보실보실 토끼 키링 가방걸이 장식 HJYSK0532, 화이트, 1개","키링","9,900원","https://www.coupang.com/vp/products/9360871904?itemId=27775024917&vendorItemId=94716779688&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=17&rank=17"
"도림 선글라스 불독 자동차 키링, 1개, 블랙","키링","4,900원","https://www.coupang.com/vp/products/8509468576?itemId=24630628813&vendorItemId=91641660790&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=18&rank=18"
"와글하우스 럭셔리 열쇠고리 자동차 키홀더 키링, C키링나이프형, 2종(실버+그레이), 1개","키링","6,900원","https://www.coupang.com/vp/products/8458003315?itemId=24465477644&vendorItemId=91480327226&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=19&rank=19"
"[2개세트]왹져 외계인 키링 세트 열쇠고리 에어팟","키링","8,800원","https://www.coupang.com/vp/products/9388274298?itemId=27877531949&vendorItemId=94836684712&sourceType=srp_product_ads&clickEventId=89653e80-5e7e-11f1-ad1d-b1be71092cc1&korePlacement=15&koreSubPlacement=21&clickEventId=89653e80-5e7e-11f1-ad1d-b1be71092cc1&korePlacement=15&koreSubPlacement=21"
"포포팬시 행운가득 부적 잘했곰 아크릴 랜덤 키링 뽑기 선물, 랜덤포장, 60개","키링","60,000원","https://www.coupang.com/vp/products/9169862035?itemId=27632927570&vendorItemId=94595735576&sourceType=srp_product_ads&clickEventId=89653e80-5e7e-11f1-ae52-9527da9168df&korePlacement=15&koreSubPlacement=22&clickEventId=89653e80-5e7e-11f1-ae52-9527da9168df&korePlacement=15&koreSubPlacement=22"
"라부부 콜라 가방고리 미니 키링 핸드폰 열쇠고리, 콜라, 레드, 1개","키링","7,900원","https://www.coupang.com/vp/products/9529431884?itemId=28416856375&vendorItemId=94801227017&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=22&rank=22"
"몽실몽실 구름 인형 키링","키링","890원","https://www.coupang.com/vp/products/8409698185?itemId=24314794829&vendorItemId=91330600405&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=23&rank=23"
"랜덤 뽑기 순덕이 아크릴 키 링 35개(박스) 다이어리 핸드폰 가방 열쇠 고리 단체 선물, 1박스, 상세페이지 참조","키링","25,270원","https://www.coupang.com/vp/products/8032831538?itemId=22685499512&vendorItemId=89509209721&q=%ED%82%A4%EB%A7%81&searchId=c3ccf21c650690&sourceType=search&itemsCount=59&searchRank=24&rank=24"
